timestamp,camera_front
1645481429.816931963,2881
1645481429.850477934,2882
1645481429.883707047,2883
1645481429.917104006,2884
1645481429.950351000,2885
1645481429.983779907,2886
1645481430.017075062,2887
1645481430.050560951,2888
1645481430.083723068,2889
1645481430.117028952,2890
1645481430.150515079,2891
1645481430.183686018,2892
1645481430.217156887,2893
1645481430.250453949,2894
1645481430.283767939,2895
1645481430.317156076,2896
1645481430.350455046,2897
1645481430.383714914,2898
1645481430.417043924,2899
1645481430.450468063,2900
1645481430.483710051,2901
1645481430.517112017,2902
1645481430.550534964,2903
1645481430.583780050,2904
1645481430.617176056,2905
1645481430.650530100,2906
1645481430.683754921,2907
1645481430.717194080,2908
1645481430.750493050,2909
1645481430.783828020,2910
1645481430.817202091,2911
1645481430.850622892,2912
1645481430.883897066,2913
1645481430.917076111,2914
1645481430.950510979,2915
1645481430.983822107,2916
1645481431.017122984,2917
1645481431.050514936,2918
1645481431.083734989,2919
1645481431.117158890,2920
1645481431.150535107,2921
1645481431.183876038,2922
1645481431.217251062,2923
1645481431.250638008,2924
1645481431.283874035,2925
1645481431.317138910,2926
1645481431.350486994,2927
1645481431.383845091,2928
1645481431.417078018,2929
1645481431.450489044,2930
1645481431.483726025,2931
1645481431.517060995,2932
1645481431.550299883,2933
1645481431.583498001,2934
1645481431.616992950,2935
1645481431.650274992,2936
1645481431.683684111,2937
1645481431.716861010,2938
1645481431.750293016,2939
1645481431.783674955,2940
1645481431.816889048,2941
1645481431.850289106,2942
1645481431.883636951,2943
1645481431.916837931,2944
1645481431.950258970,2945
1645481431.983432055,2946
1645481432.016807079,2947
1645481432.050085068,2948
1645481432.083417892,2949
1645481432.116683006,2950
1645481432.150046110,2951
1645481432.183300018,2952
1645481432.216624975,2953
1645481432.250039101,2954
1645481432.283231974,2955
1645481432.316663027,2956
1645481432.349921942,2957
1645481432.383285046,2958
1645481432.416527033,2959
1645481432.449938059,2960
1645481432.483292103,2961
1645481432.516618967,2962
1645481432.549943924,2963
1645481432.583225012,2964
1645481432.616518974,2965
1645481432.649894953,2966
1645481432.683140993,2967
1645481432.716471910,2968
1645481432.749862909,2969
1645481432.783178091,2970
1645481432.816581964,2971
1645481432.849879026,2972
1645481432.883207083,2973
1645481432.916476011,2974
1645481432.949918985,2975
1645481432.983194113,2976
1645481433.016522884,2977
1645481433.049932957,2978
1645481433.083142996,2979
1645481433.116487980,2980
1645481433.149938107,2981
1645481433.183244944,2982
1645481433.216523886,2983
1645481433.249825954,2984
1645481433.283173084,2985
1645481433.316512108,2986
1645481433.349875927,2987
1645481433.383212090,2988
1645481433.416560888,2989
1645481433.449877977,2990
1645481433.483110905,2991
1645481433.516442060,2992
1645481433.549890041,2993
1645481433.583117962,2994
1645481433.616524935,2995
1645481433.649939060,2996
1645481433.683104992,2997
1645481433.716463089,2998
1645481433.749778986,2999
1645481433.783128023,3000
1645481433.816376925,3001
1645481433.849684954,3002
1645481433.882997990,3003
1645481433.916203022,3004
1645481433.949673891,3005
1645481433.982887983,3006
1645481434.016154051,3007
1645481434.049534082,3008
1645481434.082710981,3009
1645481434.116134882,3010
1645481434.149319887,3011
1645481434.182691097,3012
1645481434.215981960,3013
1645481434.249413967,3014
1645481434.282609940,3015
1645481434.316049099,3016
1645481434.349287033,3017
1645481434.382510900,3018
1645481434.415977001,3019
1645481434.449219942,3020
1645481434.482523918,3021
1645481434.515805960,3022
1645481434.549160004,3023
1645481434.582504988,3024
1645481434.615711927,3025
1645481434.649110079,3026
1645481434.682490110,3027
1645481434.715750933,3028
1645481434.749125957,3029
1645481434.782291889,3030
1645481434.815736055,3031
1645481434.849075079,3032
1645481434.882361889,3033
1645481434.915662050,3034
1645481434.949094057,3035
1645481434.982331991,3036
1645481435.015748978,3037
1645481435.049007893,3038
1645481435.082333088,3039
1645481435.115658045,3040
1645481435.149158955,3041
1645481435.182466984,3042
1645481435.215730906,3043
1645481435.249119043,3044
1645481435.282560110,3045
1645481435.315912008,3046
1645481435.349303007,3047
1645481435.382637978,3048
1645481435.415863037,3049
1645481435.449316025,3050
1645481435.482707024,3051
1645481435.516017914,3052
1645481435.549329996,3053
1645481435.582493067,3054
1645481435.616017103,3055
1645481435.649261951,3056
1645481435.682634115,3057
1645481435.715928078,3058
1645481435.749228001,3059
1645481435.782581091,3060
1645481435.815845013,3061
1645481435.849390984,3062
1645481435.882688999,3063
1645481435.916127920,3064
1645481435.949486017,3065
1645481435.982817888,3066
1645481436.016163111,3067
1645481436.049563885,3068
1645481436.082779884,3069
1645481436.116095066,3070
1645481436.149506092,3071
1645481436.182979107,3072
1645481436.216301918,3073
1645481436.249639034,3074
1645481436.282933950,3075
1645481436.316220999,3076
1645481436.349637032,3077
1645481436.383109093,3078
1645481436.416265965,3079
1645481436.449579954,3080
1645481436.482831001,3081
1645481436.516285896,3082
1645481436.549932957,3083
1645481436.583031893,3084
1645481436.616332054,3085
1645481436.649688005,3086
1645481436.683038950,3087
1645481436.716344118,3088
1645481436.749754906,3089
1645481436.783107042,3090
1645481436.816442013,3091
1645481436.849817991,3092
1645481436.883071899,3093
1645481436.916435957,3094
1645481436.949899912,3095
1645481436.983093023,3096
1645481437.016458035,3097
1645481437.049869061,3098
1645481437.083137035,3099
1645481437.116566896,3100
1645481437.149950981,3101
1645481437.183163881,3102
1645481437.216507912,3103
1645481437.249871016,3104
1645481437.283231020,3105
1645481437.316557884,3106
1645481437.349857092,3107
1645481437.383205891,3108
1645481437.416584015,3109
1645481437.450042009,3110
1645481437.483181953,3111
1645481437.516514063,3112
1645481437.549942970,3113
1645481437.583091974,3114
1645481437.616563082,3115
1645481437.649880886,3116
1645481437.683176994,3117
1645481437.716483116,3118
1645481437.749932051,3119
1645481437.783236027,3120
1645481437.816557884,3121
1645481437.849941015,3122
1645481437.883106947,3123
1645481437.916450977,3124
1645481437.949767113,3125
1645481437.983206034,3126
1645481438.016458988,3127
1645481438.049880981,3128
1645481438.083097935,3129
1645481438.116451979,3130
1645481438.149701118,3131
1645481438.183049917,3132
1645481438.216424942,3133
1645481438.249739885,3134
1645481438.282998085,3135
1645481438.316468000,3136
1645481438.349709034,3137
1645481438.383100986,3138
1645481438.416338921,3139
1645481438.449786901,3140
1645481438.483150005,3141
1645481438.516390085,3142
1645481438.549783945,3143
1645481438.583041906,3144
1645481438.616436005,3145
1645481438.649832010,3146
1645481438.682986975,3147
1645481438.716372013,3148
1645481438.749808073,3149
1645481438.783024073,3150
1645481438.816318989,3151
1645481438.849700928,3152
1645481438.882925034,3153
1645481438.916253090,3154
1645481438.949516058,3155
1645481438.982873917,3156
1645481439.016073942,3157
1645481439.049432993,3158
1645481439.082822084,3159
1645481439.115972042,3160
1645481439.149244070,3161
1645481439.182598114,3162
1645481439.215960026,3163
1645481439.249223948,3164
1645481439.282516003,3165
1645481439.315741062,3166
1645481439.349061012,3167
1645481439.382416010,3168
1645481439.415715933,3169
1645481439.449043989,3170
1645481439.482369900,3171
1645481439.515681028,3172
1645481439.549124002,3173
1645481439.582329035,3174
1645481439.615775108,3175
1645481439.648967981,3176
1645481439.682256937,3177
1645481439.715595961,3178
1645481439.748975039,3179
1645481439.782351971,3180
1645481439.815558910,3181
1645481439.849080086,3182
1645481439.882304907,3183
1645481439.915700912,3184
1645481439.949096918,3185
1645481439.982321978,3186
1645481440.015618086,3187
1645481440.049025059,3188
1645481440.082274914,3189
1645481440.115624905,3190
1645481440.148782969,3191
1645481440.182105064,3192
1645481440.215405941,3193
1645481440.248827934,3194
1645481440.282082081,3195
1645481440.315377951,3196
1645481440.348680973,3197
1645481440.382038116,3198
1645481440.415329933,3199
1645481440.448698997,3200
1645481440.482080936,3201
1645481440.515396118,3202
